2024-03-26 18:15:47,417 - DEBUG: Processing file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\1020418.json
2024-03-26 18:15:47,428 - DEBUG: Creating caption file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\4e87fd5eb9adc34574880ed08ad802d1.txt
2024-03-26 18:15:47,429 - DEBUG: Writing tag: anus, 
2024-03-26 18:15:47,429 - DEBUG: Writing tag: bedroom eyes, 
2024-03-26 18:15:47,429 - DEBUG: Writing tag: book, 
2024-03-26 18:15:47,429 - DEBUG: Writing tag: cave, 
2024-03-26 18:15:47,429 - DEBUG: Writing tag: claws, 
2024-03-26 18:15:47,429 - DEBUG: Writing tag: female, 
2024-03-26 18:15:47,429 - DEBUG: Writing tag: feral, 
2024-03-26 18:15:47,429 - DEBUG: Writing tag: genitals, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: half-closed eyes, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: ice, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: looking at viewer, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: lying, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: membrane \(anatomy\), 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: membranous wings, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: narrowed eyes, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: pinup, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: pose, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: presenting, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: pussy, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: seductive, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: smile, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: solo, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: tail, 
2024-03-26 18:15:47,430 - DEBUG: Writing tag: wings, 
2024-03-26 18:15:47,431 - DEBUG: Writing tag: by nahyon, 
2024-03-26 18:15:47,431 - DEBUG: Writing tag: dota, 
2024-03-26 18:15:47,431 - DEBUG: Writing tag: european mythology, 
2024-03-26 18:15:47,431 - DEBUG: Writing tag: mythology, 
2024-03-26 18:15:47,431 - DEBUG: Writing tag: auroth the winter wyvern, 
2024-03-26 18:15:47,431 - DEBUG: Writing tag: dragon, 
2024-03-26 18:15:47,431 - DEBUG: Writing tag: mythological creature, 
2024-03-26 18:15:47,431 - DEBUG: Writing tag: mythological scalie, 
2024-03-26 18:15:47,431 - DEBUG: Writing tag: scalie, 
2024-03-26 18:15:47,431 - DEBUG: Writing tag: western dragon, 
2024-03-26 18:15:47,431 - DEBUG: Writing tag: wyvern, 
2024-03-26 18:15:47,431 - DEBUG: Writing tag: 2016, 
2024-03-26 18:15:47,431 - DEBUG: Writing tag: hi res, 
2024-03-26 18:15:47,432 - DEBUG: Processing file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\1064034.json
2024-03-26 18:15:47,435 - DEBUG: Creating caption file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\2e6c00a1c24df8f59f60b279b124755e.txt
2024-03-26 18:15:47,435 - DEBUG: Writing tag: 3 toes, 
2024-03-26 18:15:47,435 - DEBUG: Writing tag: 4 toes, 
2024-03-26 18:15:47,435 - DEBUG: Writing tag: anus, 
2024-03-26 18:15:47,435 - DEBUG: Writing tag: blue anus, 
2024-03-26 18:15:47,435 - DEBUG: Writing tag: blue claws, 
2024-03-26 18:15:47,435 - DEBUG: Writing tag: blue eyes, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: blue pussy, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: butt, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: claws, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: clitoral hood, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: detailed background, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: digitigrade, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: feet, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: female, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: feral, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: genitals, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: hindpaw, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: looking at viewer, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: lying, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: membrane \(anatomy\), 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: membranous wings, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: nude, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: on side, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: pawpads, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: paws, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: presenting, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: presenting hindquarters, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: pussy, 
2024-03-26 18:15:47,436 - DEBUG: Writing tag: snow, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: snowing, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: soles, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: solo, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: tail, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: toes, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: wings, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: by velannal, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: dota, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: european mythology, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: mythology, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: auroth the winter wyvern, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: dragon, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: mythological creature, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: mythological scalie, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: scalie, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: western dragon, 
2024-03-26 18:15:47,437 - DEBUG: Writing tag: wyvern, 
2024-03-26 18:15:47,439 - DEBUG: Processing file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\1113240.json
2024-03-26 18:15:47,442 - DEBUG: Creating caption file: C:\Users\kade\Desktop\training_dir_staging\1_auroth_the_winter_wyvern\aa7a545f8f5c49341c08a79fc83fc48f.txt
2024-03-26 18:15:47,442 - DEBUG: Writing tag: anus, 
2024-03-26 18:15:47,443 - DEBUG: Writing tag: big butt, 
2024-03-26 18:15:47,443 - DEBUG: Writing tag: blue body, 
2024-03-26 18:15:47,443 - DEBUG: Writing tag: blue clitoris, 
2024-03-26 18:15:47,443 - DEBUG: Writing tag: blue eyes, 
2024-03-26 18:15:47,443 - DEBUG: Writing tag: blue fangs, 
2024-03-26 18:15:47,443 - DEBUG: Writing tag: blue glow, 
2024-03-26 18:15:47,443 - DEBUG: Writing tag: blue hair, 
2024-03-26 18:15:47,443 - DEBUG: Writing tag: blue mane, 
2024-03-26 18:15:47,443 - DEBUG: Writing tag: blue pussy, 
2024-03-26 18:15:47,443 - DEBUG: Writing tag: blue scales, 
2024-03-26 18:15:47,443 - DEBUG: Writing tag: blue skin, 
2024-03-26 18:15:47,444 - DEBUG: Writing tag: blush, 
2024-03-26 18:15:47,444 - DEBUG: Writing tag: bodily fluids, 
2024-03-26 18:15:47,444 - DEBUG: Writing tag: butt, 
2024-03-26 18:15:47,444 - DEBUG: Writing tag: butt focus, 
2024-03-26 18:15:47,444 - DEBUG: Writing tag: cave, 
2024-03-26 18:15:47,444 - DEBUG: Writing tag: clitoris, 
2024-03-26 18:15:47,445 - DEBUG: Writing tag: depth of field, 
